Year,Country,Player,Par,Major
1924,United States,Walter Hagen,301,open_champ     
1925,England,Jim Barnes,300,open_champ     
1926,United States,Bobby Jones ,291,open_champ     
1927,United States,Bobby Jones        ,285,open_champ     
1928,United States,Walter Hagen       ,292,open_champ     
1929,United States,Walter Hagen,292,open_champ     
1930,United States,Bobby Jones        ,291,open_champ     
1931,United States,Tommy Armour       ,296,open_champ     
1932,United States,Gene Sarazen,283,open_champ     
1933,United States,Denny Shute ,292,open_champ     
1934,England,Henry Cotton,283,open_champ     
1935,England,Alf Perry ,283,open_champ     
1936,England,Alf Padgham        ,287,open_champ     
1937,England,Henry Cotton       ,290,open_champ     
1938,England,Reg Whitcombe,295,open_champ     
1939,England,Dick Burton,290,open_champ     
1946,United States,Sam Snead,290,open_champ     
1947,N Ireland,Fred Dalyand,293,open_champ     
1948,England,Henry Cotton,284,open_champ     
1949,South Africa,Bobby Locke        ,283,open_champ     
1950,South Africa,Bobby Locke,279,open_champ     
1951,England,Max Faulkner,285,open_champ     
1952,South Africa,Bobby Locke,287,open_champ     
1953,United States,Ben Hogan,282,open_champ     
1954,Australia,Peter Thomson,283,open_champ     
1955,Australia,Peter Thomson,281,open_champ     
1956,Australia,Peter Thomson,286,open_champ     
1957,South Africa,Bobby Locke,279,open_champ     
1958,Australia,Peter Thomson      ,274,open_champ     
1959,South Africa,Gary Player,284,open_champ     
1960,Australia,Kel Nagle,278,open_champ     
1961,United States,Arnold Palmer,284,open_champ     
1962,United States,Arnold Palmer,276,open_champ     
1963,New Zealand,Bob Charles        ,277,open_champ     
1964,United States,Tony Lema,279,open_champ     
1965,Australia,Peter Thomson,285,open_champ     
1966,United States,Jack Nicklaus,282,open_champ     
1967,Argentina,Roberto DeVicenzoan,278,open_champ     
1968,South Africa,Gary Player,289,open_champ     
1969,England,Tony Jacklin,280,open_champ     
1970,United States,Jack Nicklaus      ,283,open_champ     
1971,United States,Lee Trevino,278,open_champ     
1972,United States,Lee Trevino,278,open_champ     
1973,United States,Tom Weiskopf,276,open_champ     
1974,South Africa,Gary Player,282,open_champ     
1975,United States,Tom Watson         ,279,open_champ     
1976,United States,Johnny Miller,279,open_champ     
1977,United States,Tom Watson,283,open_champ     
1978,United States,Jack Nicklaus,281,open_champ     
1979,Spain,Seve Ballesteros,283,open_champ     
1980,United States,Tom Watson,271,open_champ     
1981,United States,Bill Rogers,276,open_champ     
1982,United States,Tom Watson,284,open_champ     
1983,United States,Tom Watson,275,open_champ     
1984,Spain,Seve Ballesteros,276,open_champ     
1985,Scotland,Sandy Lyle,282,open_champ     
1986,Australia,Greg Norman,280,open_champ     
1987,England,Nick Faldo,279,open_champ     
1988,Spain,Seve Ballesteros,273,open_champ     
1989,United States,Mark Calcavecchia  ,275,open_champ     
1990,England,Nick Faldo,270,open_champ     
1991,Australia,Ian Baker-Finch,272,open_champ     
1992,England,Nick Faldo,272,open_champ     
1993,Australia,Greg Norman,267,open_champ     
1994,Zimbabwe,Nick Price,270,open_champ     
1995,United States,John Daly T        ,282,open_champ     
1996,United States,Tom Lehman,271,open_champ     
1997,United States,Justin Leonard,272,open_champ     
1998,United States,Mark O'Meara       ,280,open_champ     
1999,Scotland,Paul Lawrie        ,290,open_champ     
2000,United States,Tiger Woods,269,open_champ     
2001,United States,David Duval,274,open_champ     
2002,South Africa,Ernie Els          ,278,open_champ     
